,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
97,107.7400,108.1700,96.7770,99.1700,91.8993,32573288,0.0000,ASML,2015-07-31
98,112.1900,113.6800,103.2200,104.1300,96.4957,17055707,0.0000,ASML,2015-06-30
99,107.5000,114.1350,105.0200,112.3000,104.0667,13696603,0.0000,ASML,2015-05-29
100,101.1200,111.2000,93.9500,107.0400,99.1923,37358552,0.6462,ASML,2015-04-30
101,109.2600,111.4000,98.4200,101.0300,93.0618,22423485,0.0000,ASML,2015-03-31
102,102.9800,110.8500,98.5700,107.6800,99.1873,13933036,0.0000,ASML,2015-02-27
103,107.6700,108.4100,100.2100,103.9400,95.7423,16782413,0.0000,ASML,2015-01-30
104,106.1700,109.9300,103.2600,107.8300,99.3255,12172496,0.0000,ASML,2014-12-31
105,99.5600,106.9500,98.3200,105.6800,97.3450,12256488,0.0000,ASML,2014-11-28
106,98.7300,99.9200,88.5500,99.6800,91.8182,20807714,0.0000,ASML,2014-10-31
107,96.0800,102.4300,95.8100,98.8200,91.0261,23365241,0.0000,ASML,2014-09-30
108,93.9500,96.7300,90.1800,96.1200,88.5390,14689900,0.0000,ASML,2014-08-29
109,94.1000,96.6700,83.2600,94.1600,86.7336,30533500,0.0000,ASML,2014-07-31
110,86.6100,94.9100,85.5700,93.2700,85.9138,17685400,0.0000,ASML,2014-06-30
111,81.2500,86.3200,79.6600,85.8800,79.1066,13461000,0.0000,ASML,2014-05-30
112,93.4800,93.7800,79.9400,81.3900,74.9708,28501600,0.7173,ASML,2014-04-30
113,85.0100,93.8299,84.8200,93.3600,85.2480,27323600,0.0000,ASML,2014-03-31
114,85.4600,90.2200,83.9200,86.1400,78.6554,22583000,0.0000,ASML,2014-02-28
115,92.6200,92.8200,83.2800,84.6300,77.2766,34531200,0.0000,ASML,2014-01-31
116,93.5900,94.8300,87.7600,93.7000,85.5585,15455600,0.0000,ASML,2013-12-31
117,93.9600,94.3600,86.1100,93.3800,85.2663,24951500,0.0000,ASML,2013-11-29
118,99.3800,101.8500,91.2200,94.6950,86.4670,26473400,0.0000,ASML,2013-10-31
119,87.9900,99.5000,87.6300,98.7600,90.1788,15427800,0.0000,ASML,2013-09-30
120,90.5900,93.5000,86.8300,87.0600,79.4954,17336800,0.0000,ASML,2013-08-30
121,79.7100,90.8300,78.1500,89.9500,82.1343,23990600,0.0000,ASML,2013-07-31
122,82.5400,83.4879,73.8900,79.1100,72.2362,37240400,0.0000,ASML,2013-06-28
123,74.0000,84.5800,73.7500,81.2700,74.2085,37672100,0.0000,ASML,2013-05-31
124,67.8900,75.8100,65.0600,74.3700,67.9081,39931200,0.5868,ASML,2013-04-30
125,70.3200,73.2400,64.9302,67.9900,61.5922,37149000,0.0000,ASML,2013-03-28
126,77.6400,78.3000,69.6700,70.9800,64.3008,29728800,0.0000,ASML,2013-02-28
127,65.9800,76.4400,62.7200,75.0900,68.0241,47076200,0.0000,ASML,2013-01-31
128,63.0200,64.9700,60.8950,64.3900,58.3309,39909100,11.8620,ASML,2012-12-31
129,55.4700,63.4000,53.3500,62.5700,47.6416,66990453,15.4026,ASML,2012-11-30
130,53.8300,56.9200,48.7300,54.9800,43.6121,153575197,0.0000,ASML,2012-10-31
131,56.7600,58.1700,51.8300,53.6800,42.5809,53587841,0.0000,ASML,2012-09-28
132,57.9000,59.1200,55.4800,56.7700,45.0320,47578960,0.0000,ASML,2012-08-31
133,51.9400,59.2000,48.3400,57.5000,45.6111,71987144,0.0000,ASML,2012-07-31
134,44.5300,52.4192,43.7400,51.4200,40.7882,59740778,0.0000,ASML,2012-06-29
135,51.0500,51.6100,44.8500,45.8100,36.3382,49040131,0.0000,ASML,2012-05-31
136,50.2600,51.7600,47.0500,50.9900,40.4471,65798052,0.5180,ASML,2012-04-30
137,45.4700,50.3200,44.0800,50.1400,39.3729,48592729,0.0000,ASML,2012-03-30
138,44.1700,47.7700,44.0500,45.5500,35.7686,60721167,0.0000,ASML,2012-02-29
139,42.9700,43.9200,40.5700,42.9900,33.7583,62605973,0.0000,ASML,2012-01-31
140,39.1400,42.3300,38.8000,41.7900,32.8160,66105972,0.0000,ASML,2011-12-30
141,40.1000,43.2300,36.1900,39.5300,31.0413,59529351,0.0000,ASML,2011-11-30
142,33.7300,43.8800,33.0500,41.9300,32.9259,103483378,0.0000,ASML,2011-10-31
143,35.1600,37.7750,32.0700,34.5400,27.1229,79242729,0.0000,ASML,2011-09-30
144,36.1300,36.3000,30.6500,35.2700,27.6961,96018960,0.0000,ASML,2011-08-31
145,37.2000,38.7900,33.7200,35.6500,27.9945,85205324,0.0000,ASML,2011-07-29
146,38.7500,39.0500,34.2500,36.9600,29.0232,50267012,0.0000,ASML,2011-06-30
147,41.9800,42.5800,37.3700,39.0100,30.6330,72082595,0.0000,ASML,2011-05-31
148,44.1400,44.7900,38.0100,41.7600,32.7924,95162727,0.4971,ASML,2011-04-29
149,44.1800,45.9200,39.0000,44.5000,34.5318,61147535,0.0000,ASML,2011-03-31
150,43.0400,45.3600,42.0800,43.6000,33.8334,69335583,0.0000,ASML,2011-02-28
151,38.8100,43.0700,35.1500,42.0100,32.5996,118324804,0.0000,ASML,2011-01-31
152,33.6900,38.8700,33.6700,38.3400,29.7517,57120520,0.0000,ASML,2010-12-31
153,33.5200,34.8900,31.5600,32.6300,25.3207,77529609,0.0000,ASML,2010-11-30
154,30.1400,33.9900,29.1500,33.1600,25.7320,67296104,0.0000,ASML,2010-10-29
155,25.6200,30.8500,25.4300,29.7300,23.0703,56292208,0.0000,ASML,2010-09-30
156,32.8200,33.2400,24.6400,24.7300,19.1904,89412729,0.0000,ASML,2010-08-31
157,27.8700,32.8500,27.2300,32.1900,24.9793,95108182,0.0000,ASML,2010-07-30
158,28.2500,31.4100,26.9900,27.4700,21.3166,71924026,0.0000,ASML,2010-06-30
159,32.7100,33.4700,26.6700,28.2600,21.9296,90372727,0.0000,ASML,2010-05-28
160,36.0300,36.3400,32.5900,32.6600,25.3440,59819482,0.0000,ASML,2010-04-30
161,30.9300,35.8800,30.9300,35.4000,27.4702,65748700,0.2277,ASML,2010-03-31
162,31.5800,32.9200,29.8100,30.8300,23.7706,56404936,0.0000,ASML,2010-02-26
163,34.7900,35.3900,30.9900,31.2500,24.0945,75207532,0.0000,ASML,2010-01-29
164,31.7800,34.7500,31.6100,34.0900,26.2842,29255325,0.0000,ASML,2009-12-31
165,27.3200,32.3000,26.7600,30.9900,23.8940,58666237,0.0000,ASML,2009-11-30
166,29.5200,32.3700,26.6400,26.9400,20.7714,83090909,0.0000,ASML,2009-10-30
167,27.2300,30.3800,25.7800,29.5700,22.7991,84179091,0.0000,ASML,2009-09-30
168,26.2000,28.8200,24.8300,27.4700,21.1800,65634417,0.0000,ASML,2009-08-31
169,22.3700,26.2100,20.8900,26.0100,20.0543,84265324,0.0000,ASML,2009-07-31
170,21.0400,22.2100,19.6600,21.6500,16.6926,67162078,0.0000,ASML,2009-06-30
171,21.1100,22.1700,18.3200,20.7000,15.9602,66746624,0.0000,ASML,2009-05-29
172,17.1700,21.4500,17.1200,21.1500,16.3071,101243248,0.0000,ASML,2009-04-30
173,14.7000,18.3800,14.0300,17.5100,13.5006,114230521,0.2237,ASML,2009-03-31
174,16.3900,18.6500,14.6600,15.1300,11.5147,73881429,0.0000,ASML,2009-02-27
175,17.7000,18.7300,15.1400,16.5400,12.5878,68448961,0.0000,ASML,2009-01-30
176,14.3400,18.1400,13.5600,18.0700,13.7522,78456754,0.0000,ASML,2008-12-31
177,17.3900,19.0700,12.6400,15.3300,11.6669,75929091,0.0000,ASML,2008-11-28
178,17.7100,17.9600,13.9100,17.5500,13.3564,137544285,0.0000,ASML,2008-10-31
179,24.6100,24.6700,16.1300,17.6100,13.4021,120511040,0.0000,ASML,2008-09-30
180,22.9300,25.3100,22.3600,23.6500,17.9988,60484285,0.0000,ASML,2008-08-29
181,24.0600,24.6200,21.5300,22.7900,17.3443,112010908,0.0000,ASML,2008-07-31
182,29.2100,29.8000,23.9900,24.4000,18.5696,82228963,0.0000,ASML,2008-06-30
183,28.6000,30.3900,28.2000,29.9600,22.8011,80646881,0.0000,ASML,2008-05-30
184,25.3200,29.6800,23.8600,28.3600,21.5834,115765197,0.7860,ASML,2008-04-30
185,23.8700,24.9100,21.8400,24.8100,18.3333,65467274,0.0000,ASML,2008-03-31
186,26.7200,27.9900,23.9800,24.0800,17.7939,68158051,0.0000,ASML,2008-02-29
187,31.4100,31.4200,24.5600,26.5900,19.6487,113087662,0.0000,ASML,2008-01-31
188,34.4800,35.3400,31.2100,31.2900,23.1217,50077795,0.0000,ASML,2007-12-31
189,34.3300,35.2900,32.1000,34.7500,25.6785,49354286,0.0000,ASML,2007-11-30
190,33.9800,35.9700,30.5500,34.9200,25.8041,58959286,2.8677,ASML,2007-10-31
191,30.1100,33.2600,29.4200,32.8600,23.3231,53611300,0.0000,ASML,2007-09-28
192,29.4700,29.9200,25.8900,29.6700,21.0589,72510257,0.0000,ASML,2007-08-31
193,28.1200,30.8500,27.5800,29.5600,20.9808,95421039,0.0000,ASML,2007-07-31
194,26.3100,28.1000,24.9200,27.4500,19.4832,80064938,0.0000,ASML,2007-06-29
195,27.3900,27.5800,24.3400,25.7700,18.2908,76617532,0.0000,ASML,2007-05-31
196,24.9200,28.0700,24.6600,27.2500,19.3412,67562597,0.0000,ASML,2007-04-30
197,23.4000,24.8900,22.6500,24.7500,17.5668,89160781,0.0000,ASML,2007-03-30
198,25.3800,26.0900,24.2600,24.5800,17.4462,65740908,0.0000,ASML,2007-02-28
199,24.4300,26.5700,24.0500,25.4800,18.0850,106218573,0.0000,ASML,2007-01-31
200,25.1200,25.8500,23.8100,24.6300,17.4816,52799482,0.0000,ASML,2006-12-29
201,23.1400,25.9200,22.5900,24.9000,17.6733,63659352,0.0000,ASML,2006-11-30
202,23.1700,24.4000,22.0200,22.8400,16.2112,69667275,0.0000,ASML,2006-10-31
203,21.8800,23.4700,21.5700,23.2800,16.5235,55669092,0.0000,ASML,2006-09-29
204,19.6300,22.0700,19.2200,22.0600,15.6575,56213376,0.0000,ASML,2006-08-31
205,20.3400,20.4700,18.2700,19.9000,14.1244,74124158,0.0000,ASML,2006-07-31
206,20.2000,21.1400,19.1000,20.2200,14.3516,59550779,0.0000,ASML,2006-06-30
207,21.3200,22.5200,18.3100,20.3400,14.4367,71911688,0.0000,ASML,2006-05-31
208,20.2200,21.8300,19.9000,21.1400,15.0045,71639868,0.0000,ASML,2006-04-28
209,21.0000,21.4600,19.3500,20.3700,14.4580,65071037,0.0000,ASML,2006-03-31
210,22.5300,23.1800,20.6200,20.6800,14.6781,54936754,0.0000,ASML,2006-02-28
211,20.3600,23.6400,20.1600,22.6000,16.0408,106111689,0.0000,ASML,2006-01-31
212,19.5300,20.4200,19.4200,20.0800,14.2522,58366492,0.0000,ASML,2005-12-30
213,16.8900,19.7300,16.7800,19.1500,13.5921,65813764,0.0000,ASML,2005-11-30
214,16.6200,17.4700,16.2500,16.9800,12.0519,74049349,0.0000,ASML,2005-10-31
215,16.8000,17.7200,15.9200,16.5100,11.7183,52694675,0.0000,ASML,2005-09-30
216,17.6300,17.9400,16.5600,16.9000,11.9951,36991690,0.0000,ASML,2005-08-31
217,15.7100,18.1300,15.4500,17.6000,12.4920,63981037,0.0000,ASML,2005-07-29
218,16.0000,17.0500,15.6600,15.6600,11.1150,43250649,0.0000,ASML,2005-06-30
219,14.5200,16.5600,14.3400,16.1200,11.4415,51018830,0.0000,ASML,2005-05-31
220,16.7400,16.8400,13.9400,14.4900,10.2846,70824156,0.0000,ASML,2005-04-29
221,18.4800,18.7400,16.4000,16.7700,11.9029,67978570,0.0000,ASML,2005-03-31
222,16.3500,18.8400,16.0400,18.3200,13.0030,74407144,0.0000,ASML,2005-02-28
223,16.0700,16.4900,14.4500,16.4300,11.6615,70822859,0.0000,ASML,2005-01-31
224,15.1800,16.8500,15.1700,15.9200,11.2995,42112078,0.0000,ASML,2004-12-31
225,14.2500,16.2100,13.9800,15.2600,10.8311,74594675,0.0000,ASML,2004-11-30
226,13.1000,14.4600,12.5000,14.2500,10.1142,79003376,0.0000,ASML,2004-10-29
227,13.0000,14.4600,12.3300,12.8700,9.1347,82925454,0.0000,ASML,2004-09-30
228,14.0300,14.2400,12.3300,12.9400,9.1844,61624674,0.0000,ASML,2004-08-31
229,17.2500,17.2600,13.2900,14.1900,10.0716,92823897,0.0000,ASML,2004-07-30
230,17.2100,17.7400,15.3900,17.1100,12.1442,57307922,0.0000,ASML,2004-06-30
231,15.9000,17.6800,14.4300,17.6100,12.4991,73465845,0.0000,ASML,2004-05-28
232,18.4400,19.4800,15.3300,15.5700,11.0511,94655325,0.0000,ASML,2004-04-30
233,18.3000,19.4650,16.1600,18.3300,13.0101,94041429,0.0000,ASML,2004-03-31
234,19.5200,21.4900,18.1500,18.2600,12.9604,80942985,0.0000,ASML,2004-02-27
235,20.4500,22.6740,19.0900,19.2600,13.6702,88621038,0.0000,ASML,2004-01-30
236,19.3100,20.3900,17.7200,20.0500,14.2309,72294935,0.0000,ASML,2003-12-31
237,18.0100,19.1900,17.0900,18.8200,13.3579,77137404,0.0000,ASML,2003-11-28
238,13.1800,17.7000,13.1800,17.5500,12.4565,120231559,0.0000,ASML,2003-10-31
239,15.5200,16.9300,12.9900,13.1200,9.3122,114504028,0.0000,ASML,2003-09-30
240,13.4100,16.1100,11.7800,15.7700,11.1931,78978570,0.0000,ASML,2003-08-29
241,9.6400,13.3100,9.5500,12.9400,9.1844,114127922,0.0000,ASML,2003-07-31
242,10.2900,11.0600,8.8700,9.5700,6.7925,80100520,0.0000,ASML,2003-06-30
243,8.8000,10.0800,7.9900,10.0500,7.1332,61823116,0.0000,ASML,2003-05-30
244,6.6200,9.0400,6.5680,8.8100,6.2531,42206366,0.0000,ASML,2003-04-30
245,7.3200,8.4200,6.1100,6.5700,4.6632,56349742,0.0000,ASML,2003-03-31
246,8.0300,8.1100,6.8500,7.2300,5.1316,29941040,0.0000,ASML,2003-02-28
247,8.6980,9.7500,7.3000,8.0100,5.6853,65321819,0.0000,ASML,2003-01-31
248,12.0900,12.1500,7.3200,8.3600,5.9337,56190648,0.0000,ASML,2002-12-31
249,8.5000,11.6500,7.9700,11.1600,7.9210,47170421,0.0000,ASML,2002-11-29
250,6.2100,8.9400,4.9500,8.6000,6.1040,80061688,0.0000,ASML,2002-10-31
251,10.0600,10.0900,5.3500,6.1900,4.3935,74780518,0.0000,ASML,2002-09-30
252,11.6300,13.2000,9.7500,10.2400,7.2680,51497015,0.0000,ASML,2002-08-30
253,15.4300,16.1800,10.4000,11.8500,8.4108,76960002,0.0000,ASML,2002-07-31
254,18.6900,18.7500,13.4500,15.1200,10.7317,60656362,0.0000,ASML,2002-06-28
255,22.3200,23.0300,17.8900,18.5400,13.1591,66252470,0.0000,ASML,2002-05-31
256,25.8000,25.8000,21.5300,22.3300,15.8492,66767402,0.0000,ASML,2002-04-30
257,20.7000,25.6100,20.6700,25.3700,18.0069,68964935,0.0000,ASML,2002-03-28
258,19.3400,20.7300,17.3600,20.3500,14.4438,56694673,0.0000,ASML,2002-02-28
259,17.5500,20.9500,17.1400,18.9500,13.4502,63954543,0.0000,ASML,2002-01-31
260,17.1600,20.2900,16.1200,17.0500,12.1016,46831819,0.0000,ASML,2001-12-31
261,14.6800,19.8800,14.4400,17.4100,12.3571,53886233,0.0000,ASML,2001-11-30
262,10.8500,15.5900,10.7500,14.3800,10.2065,97615746,0.0000,ASML,2001-10-31
263,16.8500,17.5000,9.5100,11.2100,7.9565,71406885,0.0000,ASML,2001-09-28
264,21.5600,22.0000,17.7300,18.1800,12.9036,52074545,0.0000,ASML,2001-08-31
265,22.2500,23.0000,18.0400,20.4700,14.5290,73122598,0.0000,ASML,2001-07-31
266,23.6200,25.5000,19.7000,22.2500,15.7924,62828571,0.0000,ASML,2001-06-29
267,27.5500,28.0500,22.8000,23.2600,16.5093,87714413,0.0000,ASML,2001-05-31
268,20.8100,27.4200,18.9400,27.0700,19.2135,99830650,0.0000,ASML,2001-04-30
269,20.5000,26.3800,19.8100,21.6900,15.3949,92138829,0.0000,ASML,2001-03-30
270,28.9800,29.0000,20.8100,21.1900,15.0400,61423767,0.0000,ASML,2001-02-28
271,22.1300,30.6300,19.6300,28.5000,20.2285,73810651,0.0000,ASML,2001-01-31
272,21.5600,27.5600,20.3800,22.5600,16.0124,42722515,0.0000,ASML,2000-12-29
273,26.5600,29.7000,19.3100,20.4400,14.5077,48311169,0.0000,ASML,2000-11-30
274,30.6900,33.8800,20.8100,27.8100,19.7387,72290778,0.0000,ASML,2000-10-31
