,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
38,4.1600,4.6200,4.0900,4.5400,3.6465,28192365,0.0000,ASX,2020-06-30
39,4.3400,4.6100,3.9000,4.0800,3.2770,22788610,0.0000,ASX,2020-05-29
40,3.6800,4.4900,3.5000,4.3500,3.4939,16090965,0.0000,ASX,2020-04-30
41,4.6300,4.8400,3.1700,3.7400,3.0040,22737499,0.0000,ASX,2020-03-31
42,4.7600,5.1900,4.2800,4.6000,3.6947,17480231,0.0000,ASX,2020-02-28
43,5.5700,5.5800,4.7100,4.7400,3.8072,10195772,0.0000,ASX,2020-01-31
44,4.9000,5.7000,4.8400,5.5600,4.4658,8969605,0.0000,ASX,2019-12-31
45,5.1600,5.3100,4.8900,4.8900,3.9276,6689608,0.0000,ASX,2019-11-29
46,4.6300,5.1500,4.5600,5.1000,4.0963,10760727,0.0000,ASX,2019-10-31
47,4.3700,4.7500,4.3300,4.4600,3.5823,9989668,0.0000,ASX,2019-09-30
48,4.4600,4.5700,4.1400,4.5000,3.6144,7814302,0.0000,ASX,2019-08-30
49,4.2700,4.5400,4.0300,4.3800,3.5180,12512438,0.0000,ASX,2019-07-31
50,3.7300,4.0400,3.5600,3.9500,3.1726,17962321,0.0000,ASX,2019-06-28
51,4.5900,4.6300,3.5900,3.6800,2.9558,16782281,0.0000,ASX,2019-05-31
52,4.4400,4.8900,4.3800,4.5500,3.6546,13162596,0.0000,ASX,2019-04-30
53,4.0300,4.4600,3.9600,4.3100,3.4618,10509180,0.0000,ASX,2019-03-29
54,3.9800,4.1400,3.7400,4.0300,3.2369,11836198,0.0000,ASX,2019-02-28
55,3.5700,4.0900,3.4600,3.9900,3.2048,24817469,0.0000,ASX,2019-01-31
56,4.0300,4.2300,3.5100,3.7500,3.0120,20239697,0.0000,ASX,2018-12-31
57,3.9400,4.1000,3.5400,3.9100,3.1405,22549621,0.0000,ASX,2018-11-30
58,4.8500,4.9000,3.7700,3.8300,3.0762,18111262,0.0000,ASX,2018-10-31
59,4.8600,4.8600,4.4700,4.8300,3.8794,7883316,0.0000,ASX,2018-09-28
60,4.9800,5.0700,4.6100,4.9000,3.9357,12252689,0.1640,ASX,2018-08-31
61,4.5700,5.1900,4.4400,4.9600,3.8548,14029421,0.0000,ASX,2018-07-31
62,4.9500,5.2000,4.5000,4.6000,3.5751,14036794,0.0000,ASX,2018-06-29
63,5.4700,5.8400,4.7500,4.9200,3.8238,15625825,0.0000,ASX,2018-05-31
64,7.2400,8.0000,5.7300,6.3000,4.8963,9595587,0.3680,ASX,2018-04-30
65,6.9500,7.5200,6.8400,7.2600,5.3791,21085379,0.0000,ASX,2018-03-29
66,7.0500,7.2500,6.5000,6.8200,5.0531,15181328,0.0000,ASX,2018-02-28
67,6.5200,7.3400,6.5200,7.1500,5.2976,20711944,0.0000,ASX,2018-01-31
68,6.4700,6.5900,6.3000,6.4800,4.8012,19505624,0.0000,ASX,2017-12-29
69,6.2000,7.5199,6.0700,6.5100,4.8234,22692238,0.0000,ASX,2017-11-30
70,6.1800,6.4200,6.1200,6.1600,4.5641,13974900,0.0000,ASX,2017-10-31
71,6.1000,6.2400,5.8600,6.1800,4.5789,17657110,0.0000,ASX,2017-09-29
72,6.6200,6.6500,6.0000,6.1000,4.5197,21153174,0.1626,ASX,2017-08-31
73,6.2800,6.7000,6.2000,6.5900,4.7599,18316679,0.0000,ASX,2017-07-31
74,6.3800,6.5000,6.0200,6.3100,4.5576,21022772,0.0000,ASX,2017-06-30
75,6.2000,6.4100,6.0800,6.3600,4.5937,18331623,0.0000,ASX,2017-05-31
76,6.5000,6.5500,6.1400,6.2600,4.5215,17099024,0.0000,ASX,2017-04-28
77,6.1000,6.6400,6.0200,6.4800,4.6804,34144352,0.0000,ASX,2017-03-31
78,5.7700,6.2100,5.6800,6.1800,4.4637,25818785,0.0000,ASX,2017-02-28
79,5.0400,5.8500,5.0400,5.7200,4.1315,13129929,0.0000,ASX,2017-01-31
80,5.3100,5.4400,4.8900,5.0400,3.6403,14401115,0.0000,ASX,2016-12-30
81,5.8400,5.9000,5.1100,5.3700,3.8787,10589071,0.0000,ASX,2016-11-30
82,5.9600,6.1300,5.8000,5.8500,4.2254,11373207,0.0000,ASX,2016-10-31
83,6.0100,6.2000,5.7100,5.9100,4.2687,13809168,0.0000,ASX,2016-09-30
84,5.9000,6.2300,5.8700,6.0600,4.3771,14662262,0.1831,ASX,2016-08-31
85,5.5300,5.8800,5.2700,5.7500,4.0311,12033983,0.0000,ASX,2016-07-29
86,5.5500,5.7800,5.1900,5.5800,3.9120,26216154,0.0000,ASX,2016-06-30
87,4.9200,5.9900,4.3950,5.6400,3.9540,32268843,0.0000,ASX,2016-05-31
88,5.6500,5.7400,4.8500,5.1300,3.5965,33642891,0.0000,ASX,2016-04-29
89,5.6600,5.9000,5.5300,5.8500,4.1012,26484312,0.0000,ASX,2016-03-31
90,5.1600,5.7050,4.9000,5.6200,3.9400,18309749,0.0000,ASX,2016-02-29
91,5.5400,5.5700,4.8900,5.3500,3.7507,17145580,0.0000,ASX,2016-01-29
92,5.5200,5.8800,5.1200,5.6700,3.9751,20975040,0.0000,ASX,2015-12-31
93,5.7400,5.9300,5.2800,5.3900,3.7788,14488863,0.0000,ASX,2015-11-30
94,5.5000,6.1600,5.2200,5.7400,4.0241,30353547,0.0000,ASX,2015-10-30
95,4.7400,5.8000,4.7000,5.4900,3.8489,30930909,0.0000,ASX,2015-09-30
96,5.5200,5.5600,4.5400,4.9200,3.4493,42134233,0.2268,ASX,2015-08-31
97,6.7500,6.7900,5.2400,5.6000,3.7613,35712375,0.0000,ASX,2015-07-31
98,7.0300,7.0600,6.3500,6.6000,4.4330,34582517,0.0000,ASX,2015-06-30
99,7.0800,7.2800,6.9400,7.0600,4.7419,23100364,0.0000,ASX,2015-05-29
100,7.2100,7.6500,6.7300,7.1300,4.7890,31263624,0.0000,ASX,2015-04-30
101,7.2700,8.1200,7.0000,7.2000,4.8360,37471165,0.0000,ASX,2015-03-31
102,6.6800,7.4550,6.5550,7.1000,4.7688,28201518,0.0000,ASX,2015-02-27
103,6.1200,6.9700,5.9100,6.6100,4.4397,27616226,0.0000,ASX,2015-01-30
104,6.2000,6.4500,5.9800,6.1300,4.1173,16868174,0.0000,ASX,2014-12-31
105,6.0800,6.3500,5.8300,6.1800,4.1509,19679761,0.0000,ASX,2014-11-28
106,5.9700,6.3800,5.6850,6.1700,4.1442,17143688,0.0000,ASX,2014-10-31
107,6.3400,6.4800,5.8500,5.9100,3.9695,12824245,0.0000,ASX,2014-09-30
108,6.0300,6.5500,5.9500,6.3800,4.2852,12842800,0.1509,ASX,2014-08-29
109,6.6700,6.8900,5.9200,5.9900,3.9244,20931300,0.0000,ASX,2014-07-31
110,6.4700,6.6600,6.2800,6.5000,4.2585,19700100,0.0000,ASX,2014-06-30
111,5.9200,6.6000,5.7800,6.4400,4.2192,13626900,0.0000,ASX,2014-05-30
112,5.5800,5.9200,5.4300,5.9100,3.8720,11336600,0.0000,ASX,2014-04-30
113,4.9800,5.6400,4.9200,5.5500,3.6361,19829800,0.0000,ASX,2014-03-31
114,4.4700,5.0300,4.4400,4.9700,3.2561,9029900,0.0000,ASX,2014-02-28
115,4.7500,4.9300,4.4500,4.5200,2.9613,15703300,0.0000,ASX,2014-01-31
116,5.0700,5.1100,4.4800,4.8000,3.1448,29082900,0.0000,ASX,2013-12-31
117,4.8700,5.3800,4.7900,5.0400,3.3020,15502225,0.0000,ASX,2013-11-29
118,4.7100,5.0500,4.7100,4.9300,3.2299,10751600,0.0000,ASX,2013-10-31
119,4.3600,4.7900,4.3600,4.7800,3.1317,13362103,0.0000,ASX,2013-09-30
120,4.0200,4.3200,3.9600,4.2700,2.7975,9712500,0.0000,ASX,2013-08-30
121,4.1500,4.3000,3.9700,4.0100,2.6272,18964100,0.1205,ASX,2013-07-31
122,4.2100,4.2500,3.8700,4.0600,2.5834,13812900,0.0000,ASX,2013-06-28
123,4.4400,4.4600,4.0400,4.2000,2.6725,16201600,0.0000,ASX,2013-05-31
124,4.0500,4.4800,3.9100,4.4800,2.8507,11586700,0.0000,ASX,2013-04-30
125,4.1500,4.3200,3.9200,4.1100,2.6153,14175493,0.0000,ASX,2013-03-28
126,4.0300,4.2000,3.8900,4.1300,2.6280,14507200,0.0000,ASX,2013-02-28
127,4.4300,4.6500,3.9900,3.9900,2.5389,15611300,0.0000,ASX,2013-01-31
128,4.1300,4.3100,4.0100,4.2800,2.7234,10761200,0.0000,ASX,2012-12-31
129,3.7800,4.1300,3.6800,4.1300,2.6280,17382600,0.0000,ASX,2012-11-30
130,3.7500,3.9400,3.4400,3.8000,2.4180,18385600,0.0000,ASX,2012-10-31
131,3.7900,3.9500,3.6700,3.7300,2.3735,17823989,0.0000,ASX,2012-09-28
132,3.8400,4.2600,3.6000,3.7000,2.3544,16412800,0.0685,ASX,2012-08-31
133,4.1200,4.2200,3.5800,3.8100,2.0879,23628000,0.0000,ASX,2012-07-31
134,4.5600,4.5600,3.9300,4.0700,2.2304,28470073,0.0000,ASX,2012-06-29
135,5.0700,5.2100,4.5300,4.6300,2.5373,23873900,0.0000,ASX,2012-05-31
136,5.1100,5.2200,4.7600,5.0700,2.7784,21191000,0.0000,ASX,2012-04-30
137,4.8300,5.2000,4.5700,5.1300,2.8113,23520500,0.0000,ASX,2012-03-30
138,5.2300,5.3100,4.6400,4.8800,2.6743,34521200,0.0000,ASX,2012-02-29
139,4.3700,5.4000,4.3500,5.2700,2.8880,28979100,0.0000,ASX,2012-01-31
140,4.6600,4.8000,4.1100,4.3400,2.3783,19650900,0.0000,ASX,2011-12-30
141,4.3900,4.7900,4.3100,4.5000,2.4660,22014600,0.0000,ASX,2011-11-30
142,4.1600,4.6500,4.0000,4.4200,2.4222,28644500,0.0000,ASX,2011-10-31
143,4.4500,5.0600,4.1700,4.2200,2.3126,22963800,0.0000,ASX,2011-09-30
144,5.5400,5.5600,4.0000,4.4900,2.4605,41182400,0.0677,ASX,2011-08-31
145,5.6100,5.8200,4.9700,5.3100,2.5716,34587600,0.0000,ASX,2011-07-29
146,6.1900,6.3400,5.3700,5.6400,2.7315,24793374,0.0000,ASX,2011-06-30
147,5.9100,6.1700,5.6200,6.1500,2.9785,32517600,0.0000,ASX,2011-05-31
148,5.5600,5.9500,4.9900,5.9000,2.8574,22110300,0.0000,ASX,2011-04-29
149,5.8400,6.0300,5.1900,5.4800,2.6540,44931200,0.0000,ASX,2011-03-31
150,6.1400,6.5700,5.6700,5.7200,2.7702,29767600,0.0000,ASX,2011-02-28
151,5.7300,6.6600,5.4300,6.1200,2.9639,15442000,0.0000,ASX,2011-01-31
152,5.3000,5.9700,5.2000,5.7400,2.7799,19148100,0.0000,ASX,2010-12-31
153,4.4600,5.1500,4.4600,5.1000,2.4699,12010900,0.0000,ASX,2010-11-30
154,4.1100,4.4800,3.9100,4.4200,2.1406,13145200,0.0000,ASX,2010-10-29
155,3.3400,4.2000,3.3400,4.1100,1.9905,12494900,0.0000,ASX,2010-09-30
156,3.8900,4.1100,3.3300,3.3900,1.6418,10208700,0.0000,ASX,2010-08-31
157,3.8800,4.2500,3.7800,3.7900,1.8355,19789500,0.0337,ASX,2010-07-30
158,4.1900,4.3700,3.8600,3.9100,1.7069,21151500,0.0000,ASX,2010-06-30
159,4.8000,4.9200,3.9400,4.1800,1.8247,17133900,0.0000,ASX,2010-05-28
160,4.5700,5.1200,4.5500,4.8600,2.1216,20577800,0.0000,ASX,2010-04-30
161,4.1100,4.5700,4.0500,4.5300,1.9775,22811800,0.0000,ASX,2010-03-31
162,3.8900,4.4700,3.7900,4.0200,1.7549,23316900,0.0000,ASX,2010-02-26
163,4.4300,5.2300,3.8900,3.9000,1.7025,23985700,0.0000,ASX,2010-01-29
164,3.9200,4.5000,3.9100,4.4300,1.9339,28621200,0.0000,ASX,2009-12-31
